"x","y","Z_cell"
0.25219,0.57378,"stroma"
0.24702,0.578,"stroma"
0.2493,0.58037,"necrosis"
0.2487,0.57501,"lymphocyte"
0.24823,0.58282,"lymphocyte"
0.25,0.57919,"stroma"
0.24739,0.57401,"necrosis"
0.24591,0.58023,"blood"
0.25107,0.57691,"lymphocyte"
0.24698,0.5835,"necrosis"
0.24832,0.57619,"stroma"
0.24777,0.58028,"stroma"
0.25372,0.57364,"stroma"
0.25135,0.57355,"stroma"
0.246,0.5811,"stroma"
0.25107,0.57687,"stroma"
0.24856,0.58232,"tumor"
0.2533,0.57387,"tumor"
0.24502,0.593,"lymphocyte"
0.24642,0.58432,"necrosis"
0.24428,0.59355,"lymphocyte"
0.24511,0.59359,"lymphocyte"
0.24846,0.59087,"lymphocyte"
0.24609,0.59341,"lymphocyte"
0.24702,0.58559,"lymphocyte"
0.24795,0.58896,"necrosis"
0.24725,0.58509,"necrosis"
0.2473,0.58959,"necrosis"
0.24758,0.59037,"stroma"
0.2466,0.59159,"lymphocyte"
0.24874,0.58628,"tumor"
0.24698,0.58432,"necrosis"
0.25009,0.594,"lymphocyte"
0.24823,0.59382,"stroma"
0.24497,0.58628,"tumor"
0.25042,0.5895,"stroma"
0.25093,0.58655,"stroma"
0.25316,0.58846,"stroma"
0.2507,0.58414,"stroma"
0.25065,0.59518,"lymphocyte"
0.24465,0.59568,"lymphocyte"
0.25093,0.59432,"lymphocyte"
0.25228,0.59591,"stroma"
0.24981,0.60432,"stroma"
0.24907,0.59845,"stroma"
0.2514,0.59941,"stroma"
0.24507,0.59968,"stroma"
0.25223,0.60323,"stroma"
0.24474,0.59627,"lymphocyte"
0.24442,0.59673,"lymphocyte"
0.24497,0.59459,"stroma"
0.25233,0.59596,"stroma"
0.24884,0.59609,"stroma"
0.24912,0.59441,"stroma"
0.24479,0.61109,"stroma"
0.24707,0.60941,"stroma"
0.24614,0.61259,"lymphocyte"
0.25377,0.60482,"necrosis"
0.24977,0.60445,"stroma"
0.25321,0.61245,"stroma"
0.24679,0.613,"stroma"
0.24712,0.61345,"stroma"
0.24712,0.61191,"tumor"
0.25409,0.60745,"stroma"
0.24465,0.61413,"stroma"
0.24442,0.60923,"stroma"
0.24432,0.61359,"stroma"
0.24809,0.60927,"stroma"
0.24781,0.61032,"stroma"
0.25372,0.61195,"stroma"
0.25265,0.62281,"stroma"
0.24805,0.62259,"stroma"
0.25009,0.61918,"stroma"
0.24507,0.61672,"stroma"
0.24409,0.61527,"stroma"
0.24456,0.62222,"stroma"
0.24758,0.62122,"stroma"
0.24902,0.61795,"stroma"
0.25223,0.61495,"stroma"
0.24572,0.61886,"stroma"
0.24749,0.61509,"stroma"
0.24437,0.61695,"stroma"
0.24693,0.61745,"stroma"
0.24591,0.61631,"stroma"
0.24698,0.62059,"stroma"
0.2487,0.62459,"stroma"
0.24981,0.62095,"stroma"
0.24544,0.62045,"stroma"
0.24446,0.61827,"stroma"
0.25144,0.61645,"stroma"
0.25256,0.61645,"necrosis"
0.24679,0.6219,"stroma"
0.24488,0.62486,"stroma"
0.24632,0.62427,"stroma"
0.24846,0.61922,"stroma"
0.24851,0.63104,"stroma"
0.2527,0.63513,"stroma"
0.24544,0.6314,"blood"
0.24805,0.62913,"stroma"
0.24767,0.63399,"necrosis"
0.25405,0.63417,"stroma"
0.24521,0.63508,"stroma"
0.24865,0.6249,"stroma"
0.24488,0.62513,"stroma"
0.24781,0.63504,"stroma"
0.24651,0.63422,"blood"
0.24814,0.62549,"tumor"
0.25335,0.63163,"stroma"
0.25102,0.62572,"tumor"
0.24446,0.62713,"stroma"
0.25307,0.63495,"stroma"
0.24874,0.63504,"stroma"
0.25,0.63227,"stroma"
0.25316,0.62886,"stroma"
0.2467,0.64195,"stroma"
0.24823,0.63754,"stroma"
0.24511,0.63522,"stroma"
0.24828,0.63745,"stroma"
0.25316,0.63545,"stroma"
0.25433,0.63931,"tumor"
0.24879,0.63558,"stroma"
0.24781,0.63931,"stroma"
0.2447,0.65481,"blood"
0.25288,0.64744,"stroma"
0.24632,0.64672,"blood"
0.24735,0.64613,"blood"
0.25186,0.64617,"stroma"
0.25181,0.64926,"tumor"
0.24735,0.6479,"necrosis"
0.24572,0.65581,"blood"
0.24926,0.65944,"stroma"
0.25326,0.65953,"lymphocyte"
0.24456,0.66017,"stroma"
0.25237,0.65876,"stroma"
0.24944,0.66203,"stroma"
0.24511,0.67603,"necrosis"
0.24707,0.67457,"stroma"
0.25168,0.67071,"stroma"
0.25126,0.66862,"stroma"
0.25395,0.67294,"tumor"
0.24442,0.67126,"stroma"
0.25168,0.67067,"stroma"
0.25233,0.66708,"stroma"
0.26414,0.53215,"stroma"
0.26382,0.52893,"stroma"
0.26321,0.52402,"stroma"
0.25917,0.52761,"stroma"
0.26484,0.52293,"stroma"
0.26335,0.52756,"stroma"
0.26028,0.52497,"necrosis"
0.25921,0.52284,"stroma"
0.26331,0.5227,"stroma"
0.26238,0.53006,"stroma"
0.26428,0.52384,"blood"
0.26182,0.52247,"blood"
0.26359,0.52547,"stroma"
0.2641,0.52888,"stroma"
0.25805,0.52661,"stroma"
0.26,0.52847,"stroma"
0.26298,0.52652,"stroma"
0.26433,0.52933,"stroma"
0.26186,0.52806,"stroma"
0.25805,0.53061,"necrosis"
0.26159,0.52647,"stroma"
0.26377,0.53992,"stroma"
0.2641,0.54156,"stroma"
0.26214,0.54147,"stroma"
0.26242,0.53724,"blood"
0.2628,0.53261,"stroma"
0.2567,0.54247,"stroma"
0.26154,0.53929,"stroma"
0.26228,0.53588,"blood"
0.26126,0.53583,"stroma"
0.26438,0.53929,"blood"
0.26163,0.54179,"stroma"
0.25614,0.5407,"stroma"
0.26266,0.54256,"lymphocyte"
0.26442,0.53842,"stroma"
0.26191,0.53297,"stroma"
0.26196,0.53424,"stroma"
0.26266,0.54238,"stroma"
0.2627,0.5392,"stroma"
0.26284,0.53261,"stroma"
0.26289,0.54088,"stroma"
0.26428,0.53433,"stroma"
0.26442,0.55124,"stroma"
0.26159,0.54538,"stroma"
0.2648,0.5436,"lymphocyte"
0.26182,0.54724,"stroma"
0.26433,0.54919,"lymphocyte"
0.2641,0.54788,"stroma"
0.26447,0.54438,"stroma"
0.25791,0.54619,"necrosis"
0.26391,0.54606,"stroma"
0.25665,0.54488,"blood"
0.26145,0.54992,"lymphocyte"
0.25544,0.54329,"necrosis"
0.25786,0.5456,"necrosis"
0.26024,0.54674,"necrosis"
0.25931,0.5471,"necrosis"
0.25489,0.55297,"stroma"
0.25744,0.54774,"stroma"
0.26252,0.54419,"stroma"
0.26075,0.54956,"stroma"
0.2594,0.54669,"necrosis"
0.25549,0.54319,"tumor"
0.2647,0.56124,"stroma"
0.25628,0.55815,"stroma"
0.25484,0.55333,"stroma"
0.2587,0.56133,"necrosis"
0.2647,0.55328,"stroma"
0.25484,0.55765,"stroma"
0.25498,0.56042,"stroma"
0.25451,0.55919,"blood"
0.25484,0.56301,"stroma"
0.25833,0.5611,"stroma"
0.25768,0.55646,"blood"
0.25763,0.56028,"stroma"
0.25754,0.55596,"stroma"
0.26354,0.56328,"stroma"
0.26275,0.56673,"lymphocyte"
0.26391,0.56487,"stroma"
0.26349,0.56828,"stroma"
0.2641,0.57173,"stroma"
0.26447,0.56383,"lymphocyte"
0.2627,0.56542,"lymphocyte"
0.26289,0.56619,"stroma"
0.26484,0.57228,"blood"
0.26168,0.56883,"stroma"
0.26475,0.56869,"stroma"
0.26103,0.5696,"stroma"
0.25847,0.5701,"stroma"
0.25479,0.57332,"stroma"
0.26428,0.60423,"stroma"
0.26475,0.59736,"stroma"
0.26103,0.59546,"stroma"
0.25907,0.59782,"stroma"
0.26303,0.60123,"stroma"
0.26321,0.59982,"stroma"
0.2641,0.60273,"stroma"
0.25689,0.61122,"stroma"
0.25507,0.6045,"necrosis"
